variant,all_standardized_rmse_to_legacy,all_median_dimension_r_to_legacy,all_pairwise_distance_r_to_legacy,all_nearest_self_match_fraction,bio_standardized_rmse_to_legacy,bio_median_dimension_r_to_legacy,bio_pairwise_distance_r_to_legacy
legacy_stored,0.0014876943230571168,0.9999996872998246,0.9999997235216428,1.0,0.0011042801594088798,0.9999997050664905,0.9999997158367759
render_6p5_r75,1.0188065991326933,0.7715399015104996,0.7751815358644109,0.25806451612903225,0.9752928359233191,0.7954426544607327,0.7741177195353776
render_7p8_r75,1.1544718528900038,0.6297758667808403,0.6163715188471941,0.0967741935483871,1.094315973147281,0.6794802358707721,0.5997578981635899
render_6p5_r20,0.8954887984341762,0.8014415581915219,0.756392641311542,0.5483870967741935,0.7817501943499211,0.816422489243861,0.7690069047527283
render_7p8_r20,1.0092283106478552,0.687460760162471,0.659983934275464,0.1827956989247312,0.9099252773444098,0.715307619085662,0.6457825651549338
current_stored,1.0092283106478552,0.687460760162471,0.659983934275464,0.1827956989247312,0.9099252773444098,0.715307619085662,0.6457825651549338
