variant,well,z_mu_00,z_mu_01,z_mu_02,z_mu_03,z_mu_04,z_mu_05,z_mu_06,z_mu_07,z_mu_08,z_mu_09,z_mu_10,z_mu_11,z_mu_12,z_mu_13,z_mu_14,z_mu_15,z_mu_16,z_mu_17,z_mu_18,z_mu_19,z_mu_20,z_mu_21,z_mu_22,z_mu_23,z_mu_24,z_mu_25,z_mu_26,z_mu_27,z_mu_28,z_mu_29,z_mu_30,z_mu_31,z_mu_32,z_mu_33,z_mu_34,z_mu_35,z_mu_36,z_mu_37,z_mu_38,z_mu_39,z_mu_40,z_mu_41,z_mu_42,z_mu_43,z_mu_44,z_mu_45,z_mu_46,z_mu_47,z_mu_48,z_mu_49,z_mu_50,z_mu_51,z_mu_52,z_mu_53,z_mu_54,z_mu_55,z_mu_56,z_mu_57,z_mu_58,z_mu_59,z_mu_60,z_mu_61,z_mu_62,z_mu_63,z_mu_64,z_mu_65,z_mu_66,z_mu_67,z_mu_68,z_mu_69,z_mu_70,z_mu_71,z_mu_72,z_mu_73,z_mu_74,z_mu_75,z_mu_76,z_mu_77,z_mu_78,z_mu_79,z_mu_80,z_mu_81,z_mu_82,z_mu_83,z_mu_84,z_mu_85,z_mu_86,z_mu_87,z_mu_88,z_mu_89,z_mu_90,z_mu_91,z_mu_92,z_mu_93,z_mu_94,z_mu_95,z_mu_96,z_mu_97,z_mu_98,z_mu_99
render_6p5_r75,A01,0.092271588742733,0.09585835784673691,0.028793176636099815,0.7544094920158386,0.001612467342056334,0.011039367876946926,-0.013078391551971436,-0.012066548690199852,-0.011492197401821613,0.017881155014038086,0.02290450595319271,-0.20445436239242554,0.0028257067315280437,0.01013852283358574,0.008148575201630592,-0.024316729977726936,-0.0002712997084017843,0.0002425117272650823,0.008496534079313278,0.006634495686739683,-0.18804298341274261,-0.028804410248994827,0.28895244002342224,-0.10437923669815063,-0.11601874977350235,-0.03968368470668793,-0.022200003266334534,0.004342001862823963,-0.16074366867542267,-0.05918455868959427,-0.08710703253746033,0.12298870086669922,-0.25281834602355957,-1.7659345865249634,0.0057587334886193275,0.0026264803018420935,-0.09358195215463638,-0.22450914978981018,0.26904016733169556,0.07749582082033157,-0.3447202146053314,0.009617168456315994,-0.16506150364875793,0.09030333906412125,0.07301167398691177,-0.042851462960243225,-0.06260684132575989,0.005086353048682213,0.0578414611518383,0.001060371519997716,0.25480905175209045,-0.17467281222343445,0.22318989038467407,0.2044653445482254,0.47770553827285767,0.16574402153491974,0.04632709547877312,-0.20867006480693817,-0.12720531225204468,0.020974742248654366,0.3130625784397125,0.05759492516517639,-0.06588137894868851,0.15410089492797852,-0.15668851137161255,0.0014429512666538358,-0.13109822571277618,0.1343872994184494,0.21785219013690948,0.03372124210000038,0.2917221486568451,0.9996180534362793,-0.38262149691581726,-0.13110566139221191,0.12003890424966812,-0.21114948391914368,-0.10403788834810257,0.09396559745073318,0.14903344213962555,0.2226950079202652,-0.09947456419467926,-0.3356572985649109,0.13972389698028564,0.10665290057659149,0.3609429895877838,-0.21895015239715576,-0.024310439825057983,-0.0015851034549996257,-0.3297620117664337,-0.15709583461284637,-0.009761895053088665,-0.11321054399013519,-0.1336156725883484,0.07984384894371033,-0.020796336233615875,0.1432512253522873,-0.0382256917655468,-0.08978236466646194,0.06900063157081604,0.3186395466327667
render_6p5_r75,A02,0.1459440290927887,-0.12856459617614746,0.005991494748741388,0.5013861656188965,-0.0024806135334074497,0.044766005128622055,-0.20262035727500916,-0.03511402755975723,-0.00034085148945450783,0.1027102991938591,-0.008837161585688591,-0.30483078956604004,-0.029413452371954918,-0.03776828199625015,0.04120725765824318,0.001761876279488206,0.010672965086996555,-0.006098920479416847,0.01235706452280283,0.03325372189283371,-0.1254144012928009,-0.026431897655129433,0.20329199731349945,-0.14454282820224762,-0.06549664586782455,0.015988456085324287,-1.3274047887534834e-06,-0.058602988719940186,-0.02314290590584278,0.004154792055487633,-0.14601941406726837,0.0613710954785347,-0.11229671537876129,-1.5088990926742554,-0.007226624991744757,-0.00854392722249031,-0.02304023690521717,-0.24931158125400543,0.19457481801509857,0.11328352987766266,-0.16961130499839783,0.029909664765000343,-0.14030328392982483,-0.006188207305967808,0.01162626687437296,0.029191087931394577,-0.014233104884624481,0.05858484283089638,0.07947944104671478,-0.03242044523358345,0.1514463722705841,-0.11590583622455597,0.17677758634090424,0.1184459924697876,0.3206866681575775,0.18118959665298462,0.06701752543449402,-0.10144368559122086,-0.18697591125965118,0.031064335256814957,0.19156403839588165,-0.051702406257390976,-0.03730663284659386,0.11979802697896957,-0.15568441152572632,-0.02719084732234478,-0.16516536474227905,0.09791125357151031,0.10004653036594391,-0.02702060528099537,0.19560745358467102,1.1304723024368286,-0.2655075192451477,-0.07394097745418549,0.13353487849235535,-0.1738322526216507,-0.14458468556404114,0.04925575852394104,0.10443470627069473,0.1484450101852417,0.002011676086112857,-0.2551274597644806,0.05759147182106972,0.10769830644130707,0.19089777767658234,-0.18216577172279358,-0.023338692262768745,-0.003915288485586643,-0.17258155345916748,-0.21585552394390106,-0.09898142516613007,-0.05332721397280693,-0.13333293795585632,0.042633164674043655,-0.031040318310260773,-0.021729229018092155,-0.030191287398338318,-0.05736793205142021,0.079400934278965,0.16214372217655182
render_6p5_r75,A03,0.5239761471748352,-0.7861802577972412,0.044458869844675064,0.7132627367973328,-0.04785233736038208,0.03132510185241699,-0.22496624290943146,0.005249781999737024,-0.007184730842709541,0.13035576045513153,0.05204582214355469,-0.2529800534248352,-0.013026152737438679,-0.017621049657464027,-0.0032568343449383974,0.0503983311355114,0.059842806309461594,0.023595670238137245,-0.0154266357421875,-0.04374275729060173,-0.16590914130210876,-0.062077175825834274,0.20149199664592743,-0.20504379272460938,0.1873432695865631,0.04432862997055054,-0.052418697625398636,-0.2537722885608673,0.18373559415340424,0.1076253205537796,-0.3092052638530731,-0.053529638797044754,0.07505103200674057,0.64436936378479,-0.037567198276519775,-0.012951857410371304,0.14108414947986603,-0.3795652687549591,0.18423306941986084,0.26257121562957764,0.18621376156806946,0.01779865473508835,-0.19055908918380737,-0.18408821523189545,-0.028947729617357254,0.24894389510154724,0.10413920134305954,0.2782961428165436,-0.02569047175347805,0.014531035907566547,0.026370840147137642,-0.006717260926961899,0.19288061559200287,-0.017009353265166283,0.16418695449829102,0.27597206830978394,0.10383456200361252,-0.11125229299068451,-0.35467830300331116,0.1778322458267212,0.126597061753273,-0.35356616973876953,0.03581729158759117,0.06807071715593338,-0.2532302737236023,-0.10012216120958328,-0.2746822237968445,0.07004449516534805,0.026427598670125008,-0.34331247210502625,0.02317183092236519,-1.5398133993148804,-0.02773716114461422,0.11841579526662827,0.15519805252552032,-0.2585844397544861,-0.28085795044898987,-0.029095912352204323,0.16392137110233307,0.07997359335422516,0.09932415932416916,-0.05791427567601204,-0.058210376650094986,0.13440804183483124,-0.013919453136622906,-0.2963448762893677,0.08415675908327103,-0.03524189069867134,-0.11894704401493073,-0.31635135412216187,-0.32077011466026306,0.022831792011857033,-0.18414370715618134,0.08250246196985245,-0.011728783138096333,-0.18434903025627136,-0.11160383373498917,-0.0905713438987732,0.19416731595993042,0.03225281089544296
render_6p5_r75,A04,0.30662715435028076,-0.7253966927528381,0.012862015515565872,0.7193732261657715,0.003655505133792758,0.03392421081662178,-0.10311191529035568,0.03393552824854851,-0.019253654405474663,-0.044650688767433167,0.00011481836554594338,-0.018365461379289627,-0.03521988168358803,-0.03764653205871582,-0.003324659774079919,-0.006623025517910719,0.10080650448799133,0.09758489578962326,-0.05397488921880722,-0.03160747140645981,-0.08751945942640305,-0.22423914074897766,0.14161133766174316,-0.31735488772392273,0.005234458949416876,-0.028230080381035805,0.019001344218850136,-0.13978292047977448,0.05365840718150139,0.13470272719860077,-0.2771701216697693,-0.1119447648525238,0.06237952783703804,1.392014980316162,0.06415021419525146,0.012209473177790642,0.011156151071190834,-0.19782009720802307,0.08332616835832596,0.08597396314144135,0.04563053697347641,0.11490362882614136,-0.038204360753297806,0.041326090693473816,-0.08561239391565323,0.20320992171764374,-0.06930170953273773,0.10709169507026672,0.011249120347201824,-0.12107665836811066,0.008448752574622631,-0.029809078201651573,0.17707999050617218,-0.07532378286123276,-0.10187427699565887,-0.007124088238924742,0.05342761054635048,0.08277185261249542,-0.11728985607624054,-0.0484766811132431,0.009886297397315502,-0.057496897876262665,-0.047550663352012634,-0.01922260969877243,-0.13641749322414398,-0.013422004878520966,-0.12542304396629333,-0.04878675937652588,0.02167227491736412,-0.18341957032680511,-0.012425505556166172,-0.5246703028678894,0.13056933879852295,0.00459344731643796,0.08679962158203125,-0.014049779623746872,-0.07949461042881012,0.0696517825126648,0.08123106509447098,0.018650157377123833,0.11926434189081192,-0.12874102592468262,-0.11734368652105331,0.062438298016786575,-0.034513164311647415,0.03280393406748772,0.11765581369400024,0.03973296657204628,0.07227376848459244,-0.08799434453248978,-0.04661480709910393,0.17310820519924164,-0.004022097215056419,0.04030970111489296,0.029854942113161087,-0.16337649524211884,-0.02881546877324581,0.02587735466659069,0.03127032518386841,-0.13095921277999878
render_6p5_r75,A05,0.464909166097641,0.661468505859375,-0.0254326481372118,0.8335598111152649,0.00463086599484086,-0.022890951484441757,-0.039877019822597504,-0.028650455176830292,-0.022544361650943756,0.05903703719377518,-0.0015094263944774866,-0.28655877709388733,-0.03240296617150307,-0.03652208298444748,0.017651354894042015,-0.042967330664396286,0.0797039046883583,-0.0056156800128519535,0.013493217527866364,-0.04996364563703537,-0.04644671827554703,-0.1805219054222107,0.1752508580684662,-0.24848461151123047,-0.004882493056356907,-0.03802630677819252,0.010946842841804028,-0.15476778149604797,-0.02369578741490841,0.10578499734401703,-0.21258409321308136,-0.09527025371789932,-0.00606633210554719,1.1928060054779053,0.11961665749549866,0.06633373349905014,-0.025511031970381737,-0.1004272997379303,0.038405485451221466,0.04720596969127655,-0.11391013860702515,0.16987977921962738,-0.04580821841955185,0.09930910915136337,-0.09949152916669846,0.10389383882284164,-0.09663920849561691,0.04464313015341759,0.011752174235880375,-0.10516989231109619,0.07309600710868835,-0.018604058772325516,0.1524074673652649,-0.03981811925768852,-0.05144514888525009,-0.054555442184209824,-0.008112474344670773,0.12233000248670578,0.00032841000938788056,-0.09631628543138504,0.02076801098883152,0.03945958986878395,-0.047752659767866135,-0.014896237291395664,-0.11403071880340576,0.03212011605501175,-0.026807876303792,-0.029229318723082542,0.03895518556237221,-0.05211040377616882,0.052852563560009,-0.6866260170936584,0.09541446715593338,-0.028978124260902405,0.08284984529018402,-0.0047566830180585384,-0.031571146100759506,0.06011118367314339,0.06528598070144653,0.07391422241926193,0.07983085513114929,-0.15024496614933014,-0.083381287753582,0.061598289757966995,0.014745515771210194,0.08822343498468399,0.0864076018333435,0.0067445943132042885,0.0820171982049942,-0.05741889774799347,0.03286518156528473,0.11534089595079422,0.0363428108394146,0.06784499436616898,0.016238275915384293,-0.0793292373418808,-2.389485416642856e-05,0.000521275622304529,-0.020161548629403114,-0.03328777849674225
render_6p5_r75,A06,0.5024940967559814,-0.7679718732833862,0.038984574377536774,0.6264491677284241,-0.03883508965373039,0.05274827778339386,-0.08924669772386551,0.06273149698972702,0.026019321754574776,0.10183744132518768,0.027680091559886932,-0.3027842044830322,0.026516756042838097,0.004602101165801287,-0.025155488401651382,0.014999526552855968,0.0632975846529007,-0.014680097810924053,-0.006645109038800001,0.0006514066481031477,-0.12479349225759506,-0.12467815726995468,0.19158633053302765,-0.1977764368057251,0.02517390251159668,-0.033576253801584244,-0.025986965745687485,-0.07779702544212341,-0.061492566019296646,0.1223750114440918,-0.14757555723190308,-0.03244452551007271,-0.027554456144571304,0.6353108286857605,0.10574743151664734,-0.0033760066144168377,0.01551867090165615,-0.13758176565170288,0.10253971070051193,0.06382440030574799,-0.12556351721286774,0.06327478587627411,-0.05741654336452484,0.04032984375953674,0.0016776369884610176,0.11312910914421082,-0.06409304589033127,0.048459116369485855,0.007116611581295729,-0.04330218955874443,0.07361544668674469,-0.06242375075817108,0.16421180963516235,0.043352026492357254,0.06568370014429092,0.025013238191604614,0.04147211089730263,-0.010380631312727928,-0.07198432087898254,0.0175603237003088,0.11848345398902893,-0.0004951629089191556,-0.008347357623279095,0.031717609614133835,-0.08429541438817978,-0.0190031249076128,-0.058162230998277664,0.017169145867228508,0.08447477966547012,-0.03277725726366043,0.11908484250307083,-1.3000136613845825,-0.06256509572267532,-0.01537325605750084,0.12060824036598206,-0.053086478263139725,-0.10494279116392136,0.07162222266197205,0.05585630610585213,0.12462617456912994,0.006207105703651905,-0.11703503131866455,-0.04286222532391548,0.05117454379796982,0.10758761316537857,-0.03862679377198219,0.08713021874427795,-0.00979958288371563,-0.07194294780492783,-0.1247669979929924,-0.006474772002547979,0.039159517735242844,-0.04864456504583359,0.08417180180549622,-0.014197402633726597,0.013570396229624748,-0.03700406104326248,-0.056276485323905945,0.027334168553352356,0.02734009549021721
render_6p5_r75,A07,0.4650775194168091,0.691214919090271,0.008928156457841396,0.5844720005989075,-0.035783637315034866,-0.042262002825737,-0.0006740621756762266,-0.007913529872894287,0.009850012138485909,-0.0763045996427536,0.051209937781095505,-0.2590388357639313,-0.0241054967045784,-0.010320687666535378,-0.006511328276246786,-0.0077371797524392605,0.03298885375261307,-0.032158009707927704,0.09229231625795364,-0.009747476316988468,-0.24618591368198395,0.07874680310487747,0.16415667533874512,0.09337346255779266,0.15297141671180725,0.030350221320986748,-0.13485507667064667,-0.19188962876796722,0.17287825047969818,-0.0041383421048521996,-0.11689813435077667,0.03951060399413109,0.008231361396610737,-0.7275220155715942,-0.20210163295269012,-0.18397676944732666,0.21435832977294922,-0.3622267544269562,0.28546661138534546,0.29477447271347046,0.19252723455429077,-0.12505534291267395,-0.26938843727111816,-0.21609705686569214,0.12007396668195724,0.17433048784732819,0.23439821600914001,0.2550501823425293,-0.09009569138288498,0.22991128265857697,0.10828762501478195,-0.10575676709413528,0.16838759183883667,0.17688477039337158,0.43601465225219727,0.4799131453037262,0.139607235789299,-0.3735973536968231,-0.47320109605789185,0.29031720757484436,0.23111096024513245,-0.4058384597301483,0.15607847273349762,0.1834564357995987,-0.1842518448829651,-0.09272949397563934,-0.2848187983036041,0.1662333458662033,0.06239886209368706,-0.3258010447025299,0.07555842399597168,-0.8401463031768799,-0.32962876558303833,0.23679067194461823,0.14444689452648163,-0.3864181935787201,-0.28705155849456787,-0.024803120642900467,0.1729128509759903,0.19535323977470398,0.0046392567455768585,-0.0004993638140149415,0.09388131648302078,0.13679204881191254,0.13021692633628845,-0.5427483916282654,0.0075888014398515224,-0.09367666393518448,-0.4149848520755768,-0.3703262209892273,-0.3441515266895294,-0.12886235117912292,-0.290150910615921,0.04081849753856659,0.009589197114109993,-0.012764772400259972,-0.12637510895729065,-0.13851654529571533,0.17346203327178955,0.2727821469306946
render_6p5_r75,A08,0.03084648959338665,-0.18627184629440308,0.017421282827854156,0.4870707094669342,-0.002764055971056223,0.035809170454740524,-0.2272830456495285,-0.006292625330388546,-0.03151656687259674,0.13311900198459625,-0.032893069088459015,0.060670405626297,-0.02785603515803814,-0.015796899795532227,-0.007864273153245449,0.0005560382269322872,0.009378758259117603,-0.0031626911368221045,0.014698372222483158,-0.015108538791537285,-0.006389175076037645,-0.18209406733512878,0.08341601490974426,-0.32292842864990234,0.07306110113859177,0.044613953679800034,0.037852805107831955,-0.1899411380290985,0.12403354048728943,0.2016720026731491,-0.2479873150587082,-0.1621866226196289,0.19052422046661377,-1.5032621622085571,0.13736364245414734,0.10823649913072586,-0.03464296832680702,-0.09786858409643173,-0.06840107589960098,0.04749312996864319,0.09228795021772385,0.14653171598911285,0.01615837588906288,-0.09570752084255219,-0.15987564623355865,0.12332969158887863,-0.06380374729633331,0.08078721910715103,0.08584372699260712,-0.16361422836780548,-0.07764429599046707,0.0955793634057045,0.06138597056269646,-0.14415019750595093,-0.23215517401695251,-0.07298843562602997,0.006976240314543247,0.23063045740127563,-0.051383126527071,-0.050235815346241,-0.14852149784564972,-0.07335440814495087,-0.07729784399271011,-0.1150951236486435,-0.08372679352760315,-0.004408936016261578,-0.08320323377847672,-0.06187799572944641,-0.09303387999534607,-0.15562769770622253,-0.04376610368490219,1.616065502166748,0.28087371587753296,-0.005561075173318386,0.07365967333316803,0.0611911416053772,-0.07217106968164444,-0.05806489661335945,0.043344177305698395,-0.08547436445951462,0.1955593228340149,-0.05102067440748215,-0.12126174569129944,0.03247777745127678,-0.16072392463684082,0.14479462802410126,0.0976192057132721,0.022923393175005913,0.24827498197555542,-0.09183674305677414,-0.08785895258188248,0.14639419317245483,0.0077399639412760735,0.03206811845302582,0.004898182116448879,-0.24441072344779968,0.002118891105055809,0.06619981676340103,0.006742918863892555,-0.2514795660972595
render_6p5_r75,A09,0.37816229462623596,-1.2778698205947876,0.015201312489807606,0.5702340602874756,-0.04562193155288696,0.05183767154812813,0.3339431583881378,-0.012008143588900566,-0.009684249758720398,0.049663472920656204,0.06026909872889519,0.10221411287784576,0.0013560571242123842,-0.026806050911545753,-8.016182255232707e-05,-0.010820616967976093,0.017777271568775177,0.04609458148479462,0.04843100532889366,-0.023375337943434715,-0.28224363923072815,-0.2997167408466339,0.23745235800743103,-0.20098158717155457,0.36794233322143555,-0.08623561263084412,-0.15219976007938385,-0.4825914800167084,0.17421676218509674,0.2767586410045624,-0.18060852587223053,-0.22131530940532684,0.4113497734069824,-0.3381173610687256,-0.05544878542423248,-0.1326797604560852,0.23732827603816986,-0.35695767402648926,0.056311484426259995,0.2544662058353424,0.3869371712207794,-0.015376188792288303,-0.1725296825170517,-0.43100836873054504,-0.11354324966669083,0.4408303499221802,0.11980699747800827,0.2504729926586151,-0.015594759956002235,0.13842634856700897,-0.02672599069774151,0.03078119084239006,0.32535627484321594,0.015260566957294941,-0.04090536758303642,0.2139798104763031,0.2135760486125946,-0.05002465844154358,-0.32785382866859436,0.3522767126560211,-0.03815508261322975,-0.3814975917339325,0.1580117791891098,0.01468544639647007,-0.07583998888731003,-0.13266505300998688,-0.06696020811796188,0.07688993215560913,-0.06202074885368347,-0.4803237020969391,-0.05439294874668121,-1.136236548423767,0.17882055044174194,0.3900214731693268,0.14669181406497955,-0.14937816560268402,-0.34021568298339844,-0.0313345268368721,0.042577601969242096,0.15426096320152283,0.18873536586761475,0.28394240140914917,-0.14617106318473816,0.17895162105560303,-0.1298588365316391,-0.2754972279071808,0.20779819786548615,-0.19688692688941956,-0.06940344721078873,-0.23272767663002014,-0.3745270073413849,0.12692706286907196,-0.3090907633304596,0.09347467124462128,0.18348278105258942,-0.23762023448944092,-0.11407332122325897,-0.09773075580596924,0.045377783477306366,-0.10923687368631363
render_6p5_r75,A10,0.318294495344162,-0.5477156639099121,0.03906484320759773,0.9565596580505371,-0.037826236337423325,0.014662429690361023,-0.014712334610521793,0.0009826584719121456,-0.041306883096694946,-0.04754982143640518,7.70858969190158e-05,-0.08429382741451263,-0.044621895998716354,-0.009380655363202095,-0.013563843443989754,-0.010451838374137878,-0.012518626637756824,-0.012149223126471043,0.0450640469789505,-0.0330766923725605,0.07977734506130219,0.04045932739973068,-0.16019266843795776,0.27394795417785645,0.14319725334644318,0.1668391227722168,-0.029985643923282623,-0.051230721175670624,-0.14409714937210083,0.24108493328094482,0.5212190747261047,0.12444992363452911,0.21506865322589874,-0.5865722894668579,0.14542782306671143,0.07932844758033752,-0.11086707562208176,0.5781636834144592,-0.17794163525104523,-0.3000640571117401,-0.15689519047737122,-0.11712933331727982,0.3210797607898712,-0.2599851191043854,-0.02865476906299591,-0.36365818977355957,-0.007455835584551096,-0.20652525126934052,-0.08029003441333771,0.1610046625137329,-0.13746702671051025,0.15387947857379913,-0.22941701114177704,-0.050059154629707336,-0.2484690546989441,-0.36251845955848694,-0.06291865557432175,0.17045575380325317,0.3980071544647217,0.07495538145303726,-0.2730652093887329,0.3017524182796478,0.023735135793685913,-0.21966828405857086,0.5100220441818237,-0.0785108432173729,0.5828437805175781,0.03287722170352936,-0.3043491840362549,0.29192879796028137,-0.2759960889816284,-0.8558217883110046,0.4154759347438812,0.22225572168827057,-0.2929326593875885,0.4214024543762207,-0.018301699310541153,0.0460396483540535,-0.391044020652771,-0.1257609874010086,0.04799835756421089,0.4093553423881531,0.22972992062568665,-0.08866629749536514,-0.1472785323858261,0.21688297390937805,0.1906069666147232,-0.06156488135457039,0.037320271134376526,0.3479880094528198,0.3085986077785492,-0.04142968729138374,-0.2249157726764679,0.0012448173947632313,0.2578801214694977,0.06335266679525375,-0.13441893458366394,0.04728421941399574,-0.3035708963871002,-0.10269295424222946
