selection_rank,source_saturation_rank,well_id,well,physical_embryo_id,legacy_path,pre_fix_path,post_fix_path,pre_fix_foreground_pixels,pre_fix_foreground_mean,pre_fix_foreground_p95,pre_fix_foreground_fraction_ge_250,legacy_foreground_pixels,legacy_foreground_mean,legacy_foreground_p95,legacy_foreground_fraction_ge_250,post_fix_foreground_pixels,post_fix_foreground_mean,post_fix_foreground_p95,post_fix_foreground_fraction_ge_250
1,1,20250612_24hpf_ctrl_atf6_G06,G06,20250612_24hpf_ctrl_atf6_G06_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_G06_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_G06/snips/20250612_24hpf_ctrl_atf6_G06_e01/20250612_24hpf_ctrl_atf6_G06_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_G06/snips/20250612_24hpf_ctrl_atf6_G06_e01/20250612_24hpf_ctrl_atf6_G06_e01_BF_t0000.png,11752,144.68192648059906,234.0,0.0007658270932607216,17744,122.43569657348964,220.0,0.001127141568981064,19416,114.19437577255871,213.0,0.0005150391429748661
2,14,20250612_24hpf_ctrl_atf6_F04,F04,20250612_24hpf_ctrl_atf6_F04_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_F04_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_F04/snips/20250612_24hpf_ctrl_atf6_F04_e01/20250612_24hpf_ctrl_atf6_F04_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_F04/snips/20250612_24hpf_ctrl_atf6_F04_e01/20250612_24hpf_ctrl_atf6_F04_e01_BF_t0000.png,12804,134.6005935645111,234.0,0.007653858169322087,18004,120.38802488335925,227.0,0.0020550988669184624,18408,116.84555627987831,225.0,0.0008148631029986962
3,27,20250612_24hpf_ctrl_atf6_E11,E11,20250612_24hpf_ctrl_atf6_E11_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_E11_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_E11/snips/20250612_24hpf_ctrl_atf6_E11_e01/20250612_24hpf_ctrl_atf6_E11_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_E11/snips/20250612_24hpf_ctrl_atf6_E11_e01/20250612_24hpf_ctrl_atf6_E11_e01_BF_t0000.png,11916,141.83836858006043,239.0,0.009818731117824773,17234,127.38551700127654,225.0,0.003249390739236393,18173,121.9757882573048,222.0,0.0009904803829857481
4,41,20250612_24hpf_ctrl_atf6_D10,D10,20250612_24hpf_ctrl_atf6_D10_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_D10_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_D10/snips/20250612_24hpf_ctrl_atf6_D10_e01/20250612_24hpf_ctrl_atf6_D10_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_D10/snips/20250612_24hpf_ctrl_atf6_D10_e01/20250612_24hpf_ctrl_atf6_D10_e01_BF_t0000.png,12128,145.76525395778364,237.0,0.012368073878627968,17901,119.3962907100162,217.0,0.0,18863,112.99358532577003,213.0,0.0
5,54,20250612_24hpf_ctrl_atf6_G01,G01,20250612_24hpf_ctrl_atf6_G01_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_G01_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_G01/snips/20250612_24hpf_ctrl_atf6_G01_e01/20250612_24hpf_ctrl_atf6_G01_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_G01/snips/20250612_24hpf_ctrl_atf6_G01_e01/20250612_24hpf_ctrl_atf6_G01_e01_BF_t0000.png,8890,142.66895388076492,241.0,0.013723284589426323,12789,123.455938697318,227.0,0.0022675736961451248,14264,116.20351934941111,228.0,0.00266404935501963
6,68,20250612_24hpf_ctrl_atf6_C07,C07,20250612_24hpf_ctrl_atf6_C07_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_C07_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_C07/snips/20250612_24hpf_ctrl_atf6_C07_e01/20250612_24hpf_ctrl_atf6_C07_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_C07/snips/20250612_24hpf_ctrl_atf6_C07_e01/20250612_24hpf_ctrl_atf6_C07_e01_BF_t0000.png,8613,146.08823870892837,243.0,0.01567398119122257,12146,128.84941544541414,223.0,0.0002469948954388276,12744,124.57823289391087,221.0,0.0
7,81,20250612_24hpf_ctrl_atf6_A04,A04,20250612_24hpf_ctrl_atf6_A04_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_A04_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_A04/snips/20250612_24hpf_ctrl_atf6_A04_e01/20250612_24hpf_ctrl_atf6_A04_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_A04/snips/20250612_24hpf_ctrl_atf6_A04_e01/20250612_24hpf_ctrl_atf6_A04_e01_BF_t0000.png,12248,141.74338667537558,237.0,0.018370346178967996,17947,119.50058505599822,221.0,0.003510335989301833,18781,111.95420904105212,215.0,0.003780416378254619
8,95,20250612_24hpf_ctrl_atf6_B02,B02,20250612_24hpf_ctrl_atf6_B02_e01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/training_data/bf_embryo_snips/20250612_24hpf_ctrl_atf6/20250612_24hpf_ctrl_atf6_B02_e00_t0000.jpg,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260731_snip_compatibility_rerun/before/snips/per_well/20250612_24hpf_ctrl_atf6_B02/snips/20250612_24hpf_ctrl_atf6_B02_e01/20250612_24hpf_ctrl_atf6_B02_e01_BF_t0000.png,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/object_extraction/20250612_24hpf_ctrl_atf6/snips/per_well/20250612_24hpf_ctrl_atf6_B02/snips/20250612_24hpf_ctrl_atf6_B02_e01/20250612_24hpf_ctrl_atf6_B02_e01_BF_t0000.png,8775,146.94301994301995,246.0,0.03339031339031339,12994,125.72333384639064,231.0,0.002385716484531322,13588,122.64269944068296,232.0,0.0032381513099793936
