well_id,time_index,embryo_px,exposure_ms,mean_bgsub_dn,snr,clipped_px,dynamic_range_sigmas,cv,H_raw_dn,H_per_ms,H_div_mean,H_div_median,H_zscore,H_log1p_z,dosage_class
20260624_2x_td_bf_pbx_coll_plate01_A01,0,54971,600.0,1102.4355387386076,8.612777646395372,0,20.75,0.4923194834019984,5.770180090415994,5.770180090415994,5.770180090415994,5.770180090415994,5.770180090415994,5.766503394173001,1
20260624_2x_td_bf_pbx_coll_plate01_A01,1,79210,300.0,472.5577073601818,3.69185708875142,0,14.75,0.839530668854743,5.113630045343912,5.113630045343912,5.113630045343912,5.113630045343912,5.113630045343912,5.113122295816753,1
20260624_2x_td_bf_pbx_coll_plate01_A01,2,59329,300.0,308.85024187159735,2.4128925146218543,0,5.5,0.5830362154679204,4.308039172199816,4.308039172199816,4.308039172199816,4.308039172199816,4.308039172199816,4.308039172199816,1
20260624_2x_td_bf_pbx_coll_plate01_A02,0,103121,600.0,1747.4117590015612,13.651654367199697,0,50.5,0.9543596403946908,6.655101850814416,6.655101850814416,6.655101850814416,6.655101850814416,6.655101850814416,6.382036463391943,1
20260624_2x_td_bf_pbx_coll_plate01_A02,1,116904,300.0,148.68569082323958,1.1616069595565592,0,3.5,0.6074483986311482,3.374364146417169,3.374364146417169,3.374364146417169,3.374364146417169,3.374364146417169,3.374364146417169,0
20260624_2x_td_bf_pbx_coll_plate01_A02,2,19205,300.0,154.5080968497787,1.207094506638896,0,3.0,0.6337362712204625,3.594960786003803,3.594960786003803,3.594960786003803,3.594960786003803,3.594960786003803,3.594960786003803,0
20260624_2x_td_bf_pbx_coll_plate01_B01,0,52798,600.0,356.43168301829616,2.227698018864351,0,1.8,0.1680907969378804,2.9008362839087516,2.9008362839087516,2.9008362839087516,2.9008362839087516,2.9008362839087516,2.9008362839087516,0
20260624_2x_td_bf_pbx_coll_plate01_B01,1,104402,300.0,38.17428784889179,0.23858929905557366,0,1.0,0.9938244199334164,2.2033676009518754,2.2033676009518754,2.2033676009518754,2.2033676009518754,2.2033676009518754,2.2033676009518754,0
20260624_2x_td_bf_pbx_coll_plate01_B01,2,89314,300.0,71.45307566562913,0.44658172291018206,0,1.6,0.8522839197884978,2.7322999052252444,2.7322999052252444,2.7322999052252444,2.7322999052252444,2.7322999052252444,2.7322999052252444,0
20260624_2x_td_bf_pbx_coll_plate01_B02,0,47259,600.0,9943.974100171396,24.85993525042849,0,60.0,0.5541661900752948,7.462333994222583,7.462333994222583,7.462333994222583,7.462333994222583,7.462333994222583,7.631112356489898,2
20260624_2x_td_bf_pbx_coll_plate01_B02,1,56326,300.0,3727.589816425807,9.318974541064517,0,24.24,0.5579063014510677,7.2201550031861705,7.2201550031861705,7.2201550031861705,7.2201550031861705,7.2201550031861705,7.2355324972154715,2
20260624_2x_td_bf_pbx_coll_plate01_B02,2,72275,300.0,6656.704420615704,16.641761051539262,0,30.16,0.42384426638734124,7.588419032762134,7.588419032762134,7.588419032762134,7.588419032762134,7.588419032762134,7.610833385789458,2
